1614018588.493165,0.000000,0.071001,0.127029,0.342002,
1614018588.509825,0.000000,0.068181,0.127969,0.344018,
1614018588.526493,0.000000,0.065106,0.128740,0.346252,
1614018588.543160,0.000000,0.061976,0.129276,0.348523,
1614018588.559813,0.000000,0.058870,0.129727,0.350765,
1614018588.576491,0.000000,0.055922,0.129579,0.352992,
1614018588.593374,0.000000,0.052995,0.129318,0.355319,
1614018588.609835,0.000000,0.050209,0.128660,0.357489,
1614018588.626501,0.000000,0.047688,0.127739,0.359738,
1614018588.643159,0.000000,0.045226,0.126584,0.361943,
1614018588.659816,0.000000,0.042843,0.124993,0.363955,
1614018588.676499,0.000000,0.040471,0.122967,0.366157,
1614018588.693156,0.000000,0.038080,0.120714,0.368147,
1614018588.709834,0.000000,0.035619,0.118197,0.370217,
1614018588.726494,0.000000,0.033093,0.115159,0.372273,
1614018588.743162,0.000000,0.030525,0.112134,0.374186,
1614018588.759828,0.000000,0.027916,0.108713,0.376218,
1614018588.776495,0.000000,0.025256,0.105240,0.377911,
1614018588.793157,0.000000,0.022755,0.101514,0.379706,
1614018588.809829,0.000000,0.020266,0.097593,0.381318,
1614018588.826587,0.000000,0.017838,0.093525,0.382830,
1614018588.843117,0.000000,0.015595,0.089273,0.384230,
1614018588.859786,0.000000,0.013384,0.085033,0.385499,
1614018588.876491,0.000000,0.011317,0.080724,0.386716,
1614018588.893092,0.000000,0.009509,0.076519,0.387756,
1614018588.909786,0.000000,0.007899,0.072238,0.388654,
1614018588.926452,0.000000,0.006528,0.068060,0.389501,
1614018588.943148,0.000000,0.005265,0.064079,0.390307,
1614018588.959824,0.000000,0.004013,0.060081,0.391025,
1614018588.976485,0.000000,0.002860,0.056294,0.391765,
1614018588.993136,0.000000,0.001811,0.052530,0.392393,
1614018589.009821,0.000000,0.000872,0.048842,0.392940,
1614018589.026488,0.000000,0.000015,0.045229,0.393567,
1614018589.043283,0.000000,-0.000713,0.041628,0.394129,
1614018589.059845,0.000000,-0.001248,0.038150,0.394697,
1614018589.076492,0.000000,-0.001738,0.034682,0.395207,
1614018589.093146,0.000000,-0.001991,0.030928,0.395689,
1614018589.109823,0.000000,-0.002263,0.027264,0.396159,
1614018589.126480,0.000000,-0.002406,0.023660,0.396612,
1614018589.143147,0.000000,-0.002331,0.020023,0.397058,
1614018589.159818,0.000000,-0.002264,0.016352,0.397522,
1614018589.176480,0.000000,-0.002121,0.012530,0.397872,
1614018589.193149,0.000000,-0.001872,0.008723,0.398258,
