"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"180x90","P2","P0",983,740.00,1.13,3.22,-47.71,77.70       ,-29.16,105.17,16.46,33.14,-18.55,-27.47,    -47.26,97.08,10.19,-0.45,-0.45,-19.38
"180x90","P2","P0",965,756.00,1.17,3.37,-47.59,77.63       ,-27.15,72.81,13.68,21.00,-20.44,4.82,    -51.28,44.49,8.56,3.70,3.70,33.13
"180x90","P2","P0",965,764.00,1.17,3.49,-47.82,77.63       ,-35.20,107.19,15.06,32.15,-12.62,-29.57,    -37.21,82.92,11.59,-10.61,-10.61,-5.30
"180x90","P2","P0",965,769.00,1.17,3.60,-47.62,77.62       ,-27.15,72.81,16.05,21.03,-20.47,4.81,    -55.31,46.52,9.99,7.69,7.69,31.11
"180x90","P2","P0",965,816.00,1.25,3.84,-47.56,77.62       ,-27.15,72.81,14.12,20.97,-20.41,4.81,    -55.31,135.51,9.72,7.75,7.75,-57.89
"180x90","P3","P0",965,728.00,1.12,3.19,-25.17,81.50       ,169.94,163.82,8.65,184.30,164.89,-82.32,    -75.42,117.30,6.54,50.25,50.25,-35.80
"180x90","P3","P0",965,763.00,1.16,3.39,-25.52,81.46       ,23.13,119.33,8.77,61.65,-48.64,-37.87,    -31.17,46.52,6.75,5.66,5.66,34.94
"180x90","P3","P0",965,743.00,1.13,3.43,-25.18,81.45       ,-145.81,24.27,7.77,133.50,120.63,57.19,    -103.58,36.40,5.78,78.40,78.40,45.05
"180x90","P3","P0",965,737.00,1.12,3.51,-25.09,81.50       ,-145.81,151.69,8.61,139.65,120.72,-70.19,    -145.81,151.69,8.61,120.72,120.72,-70.19
"180x90","P3","P0",965,753.00,1.14,3.65,-25.00,81.48       ,49.27,4.04,7.87,107.30,-74.27,77.44,    -75.42,12.13,6.07,50.42,50.42,69.35
"180x90","P4","P0",983,781.00,1.18,3.35,3.25,80.17       ,-91.51,40.45,9.75,102.75,94.76,39.72,    -23.13,171.91,7.48,26.38,26.38,-91.74
"180x90","P4","P0",983,772.00,1.16,3.42,3.51,80.17       ,-3.02,115.28,8.16,35.71,6.53,-35.11,    3.02,99.10,6.32,0.49,0.49,-18.93
"180x90","P4","P0",,,,,,,,,,,,,,,,,,
"180x90","P4","P0",965,788.00,1.19,3.57,3.52,80.22       ,27.15,133.48,8.05,58.27,-23.63,-53.26,    1.01,68.76,6.21,2.52,2.52,11.45
"180x90","P4","P0",965,766.00,1.16,3.59,3.55,80.21       ,15.08,24.27,8.24,57.12,-11.53,55.94,    15.08,24.27,8.24,-11.53,-11.53,55.94
"180x90","P5","P0",965,735.00,1.12,3.21,30.70,76.63       ,35.20,76.85,7.52,4.50,-4.50,-0.22,    35.20,76.85,7.52,-4.50,-4.50,-0.22
"180x90","P5","P0",965,757.00,1.15,3.37,30.55,76.46       ,-49.27,159.78,8.98,115.39,79.83,-83.32,    -21.12,161.80,6.68,51.67,51.67,-85.34
"180x90","P5","P0",965,761.00,1.17,3.48,30.93,76.56       ,21.12,60.67,9.59,18.67,9.81,15.89,    25.14,111.24,7.30,5.79,5.79,-34.67
"180x90","P5","P0",965,748.00,1.13,3.54,30.46,76.70       ,37.21,141.57,7.11,65.23,-6.74,-64.88,    27.15,30.34,5.50,3.31,3.31,46.36
"180x90","P5","P0",965,723.00,1.10,3.56,30.43,76.72       ,77.43,32.36,7.39,64.63,-47.00,44.36,    37.21,30.34,5.63,-6.77,-6.77,46.39
"180x90","P6","P0",965,759.00,1.20,3.28,96.55,74.05       ,95.53,88.99,29.52,14.97,1.02,-14.93,    97.54,105.17,21.25,-0.99,-0.99,-31.11
"180x90","P6","P0",965,812.00,1.28,3.54,97.17,74.05       ,95.53,88.99,22.77,15.03,1.64,-14.94,    97.54,105.17,15.70,-0.37,-0.37,-31.12
"180x90","P6","P0",965,805.00,1.27,3.61,96.64,74.03       ,95.53,88.99,26.35,15.00,1.11,-14.95,    97.54,105.17,19.97,-0.90,-0.90,-31.13
"180x90","P6","P0",965,813.00,1.28,3.73,96.91,74.08       ,95.53,88.99,31.40,14.97,1.38,-14.90,    97.54,105.17,23.49,-0.63,-0.63,-31.08
"180x90","P6","P0",965,820.00,1.28,3.85,96.98,74.08       ,95.53,88.99,27.15,14.98,1.45,-14.91,    97.54,105.17,17.88,-0.57,-0.57,-31.09
"180x90","P8","P0",965,827.00,1.26,3.49,179.51,75.05       ,175.98,66.74,39.81,9.03,3.54,8.31,    180.00,107.19,29.44,-0.49,-0.49,-32.14
"180x90","P8","P0",965,826.00,1.25,3.58,179.30,75.12       ,177.99,68.76,40.08,6.49,1.31,6.35,    180.00,109.21,29.64,-0.70,-0.70,-34.09
"180x90","P8","P0",965,825.00,1.25,3.68,178.80,75.06       ,173.97,113.26,26.00,38.50,4.83,-38.20,    180.00,72.81,19.26,-1.20,-1.20,2.25
"180x90","P8","P0",965,822.00,1.25,3.76,179.13,75.07       ,175.98,111.24,33.70,36.30,3.15,-36.16,    -177.99,80.90,25.18,-2.88,-2.88,-5.83
"180x90","P8","P0",965,828.00,1.25,3.88,178.75,75.05       ,173.97,113.26,28.00,38.50,4.79,-38.21,    -180.00,76.85,20.62,-1.25,-1.25,-1.80
"180x90","P9","P0",965,806.00,1.22,3.42,-139.70,78.64       ,180.00,24.27,9.78,67.68,40.30,54.37,    -155.87,82.92,7.25,16.17,16.17,-4.28
"180x90","P9","P0",965,800.00,1.21,3.50,-139.76,78.66       ,59.33,143.60,6.26,173.52,160.91,-64.94,    -87.49,157.75,4.85,-52.27,-52.27,-79.09
"180x90","P9","P0",
"180x90","P9","P0",965,751.00,1.14,3.50,-139.64,78.65       ,171.96,157.75,6.56,92.74,48.40,-79.10,    -137.77,99.10,5.08,-1.88,-1.88,-20.45
"180x90","P9","P0",965,779.00,1.18,3.63,-139.61,78.65       ,57.32,141.57,7.74,174.79,163.08,-62.92,    -165.92,143.60,5.97,26.32,26.32,-64.94
"180x90","P10","P0",965,821.00,1.25,3.47,-96.45,73.54       ,-169.94,171.91,9.38,122.79,73.49,-98.37,    -93.52,117.30,7.10,-2.93,-2.93,-43.77
"180x90","P10","P0",965,832.00,1.27,3.60,-96.87,73.49       ,-91.51,125.39,17.50,52.18,-5.36,-51.90,    -95.53,64.72,11.28,-1.34,-1.34,8.78
"180x90","P10","P0",965,833.00,1.28,3.70,-96.60,73.44       ,-89.50,52.58,14.53,22.04,-7.11,20.86,    -99.55,76.85,6.98,2.95,2.95,-3.41
"180x90","P10","P0",965,836.00,1.27,3.81,-96.98,73.45       ,-89.50,129.44,14.18,56.49,-7.49,-55.99,    -99.55,76.85,10.24,2.57,2.57,-3.40
"180x90","P10","P0",965,828.00,1.26,3.88,-96.72,73.56       ,-91.51,54.61,10.27,19.66,-5.21,18.96,    -99.55,113.26,7.90,2.83,2.83,-39.70
